vec3(0.001193, 0.000000, 1.994837)
vec4(-1.199907, -2.405800, -19.229563, 1.000000)
vec4(-0.475907, -2.405800, -19.261864, 1.000000)
vec4(0.248693, -2.405800, -19.266764, 1.000000)
vec4(0.972993, -2.405800, -19.244263, 1.000000)
vec4(-1.762807, -2.405800, -17.583862, 1.000000)
vec4(-1.100407, -2.405800, -17.638464, 1.000000)
vec4(-0.436407, -2.405800, -17.667963, 1.000000)
vec4(0.228193, -2.405800, -17.672462, 1.000000)
vec4(0.892593, -2.405800, -17.651764, 1.000000)
vec4(1.555793, -2.405800, -17.606064, 1.000000)
vec4(-1.016007, -2.405800, -16.286863, 1.000000)
vec4(-0.402807, -2.405800, -16.314064, 1.000000)
vec4(0.210893, -2.405800, -16.318163, 1.000000)
vec4(0.824293, -2.405800, -16.299063, 1.000000)
