vec3(0.280372, 0.000000, -11.880859)
vec4(-0.772428, -2.405800, -19.835859, 1.000000)
vec4(-0.547828, -2.405800, -19.871658, 1.000000)
vec4(-0.322028, -2.405800, -19.899059, 1.000000)
vec4(-0.095328, -2.405800, -19.917860, 1.000000)
vec4(0.131872, -2.405800, -19.928160, 1.000000)
vec4(0.359372, -2.405800, -19.929859, 1.000000)
vec4(-1.169728, -2.405800, -19.555059, 1.000000)
vec4(-0.955428, -2.405800, -19.606060, 1.000000)
vec4(-0.739328, -2.405800, -19.648960, 1.000000)
vec4(-0.521828, -2.405800, -19.683659, 1.000000)
vec4(-0.303128, -2.405800, -19.710159, 1.000000)
vec4(-0.083528, -2.405800, -19.728359, 1.000000)
vec4(0.136572, -2.405800, -19.738258, 1.000000)
vec4(0.356972, -2.405800, -19.739861, 1.000000)
vec4(0.577172, -2.405800, -19.733259, 1.000000)
vec4(0.797072, -2.405800, -19.718260, 1.000000)
vec4(1.016172, -2.405800, -19.694960, 1.000000)
vec4(-1.534128, -2.405800, -19.258759, 1.000000)
vec4(-1.330828, -2.405800, -19.323660, 1.000000)
vec4(-1.125128, -2.405800, -19.380859, 1.000000)
vec4(-0.917428, -2.405800, -19.430260, 1.000000)
vec4(-0.707928, -2.405800, -19.471859, 1.000000)
vec4(-0.497128, -2.405800, -19.505459, 1.000000)
vec4(-0.285128, -2.405800, -19.531158, 1.000000)
vec4(-0.072328, -2.405800, -19.548759, 1.000000)
vec4(0.141072, -2.405800, -19.558359, 1.000000)
vec4(0.354672, -2.405800, -19.559959, 1.000000)
vec4(0.568172, -2.405800, -19.553459, 1.000000)
vec4(0.781272, -2.405800, -19.538960, 1.000000)
vec4(0.993672, -2.405800, -19.516359, 1.000000)
vec4(1.205072, -2.405800, -19.485859, 1.000000)
vec4(-1.674228, -2.405800, -19.026760, 1.000000)
vec4(-1.479528, -2.405800, -19.097160, 1.000000)
vec4(-1.282328, -2.405800, -19.160059, 1.000000)
