vec3(-2.204612, 0.000000, -20.905426)
vec4(1.633488, -2.302600, -16.922926, 1.000000)
vec4(1.405588, -2.302600, -16.783026, 1.000000)
vec4(1.707588, -2.302600, -17.284626, 1.000000)
vec4(1.493288, -2.302600, -17.141626, 1.000000)
vec4(1.965888, -2.302600, -17.782927, 1.000000)
vec4(1.770088, -2.302600, -17.629826, 1.000000)
vec4(1.568688, -2.302600, -17.484226, 1.000000)
vec4(1.361988, -2.302600, -17.346325, 1.000000)
vec4(1.821788, -2.302600, -17.959927, 1.000000)
vec4(1.632688, -2.302600, -17.812126, 1.000000)
vec4(1.438288, -2.302600, -17.671526, 1.000000)
vec4(1.863388, -2.302600, -18.276026, 1.000000)
vec4(1.686288, -2.302600, -18.126427, 1.000000)
vec4(1.503588, -2.302600, -17.983625, 1.000000)
vec4(1.315688, -2.302600, -17.847725, 1.000000)
vec4(1.895688, -2.302600, -18.579025, 1.000000)
vec4(1.729888, -2.302600, -18.428026, 1.000000)
vec4(1.558588, -2.302600, -18.283325, 1.000000)
vec4(1.381888, -2.302600, -18.145126, 1.000000)
vec4(1.764288, -2.302600, -18.717726, 1.000000)
vec4(1.603788, -2.302600, -18.571526, 1.000000)
vec4(1.437988, -2.302600, -18.431427, 1.000000)
vec4(1.639988, -2.302600, -18.848825, 1.000000)
vec4(1.484588, -2.302600, -18.707226, 1.000000)
vec4(1.323888, -2.302600, -18.571627, 1.000000)
vec4(1.522188, -2.302600, -18.973125, 1.000000)
vec4(1.371488, -2.302600, -18.835926, 1.000000)
vec4(1.551488, -2.302600, -19.229727, 1.000000)
vec4(1.410388, -2.302600, -19.091125, 1.000000)
vec4(1.440988, -2.302600, -19.337826, 1.000000)
vec4(1.304088, -2.302600, -19.203325, 1.000000)
vec4(1.335888, -2.302600, -19.440725, 1.000000)
