vec3(-36.951973, 0.000000, -368.319489)
vec4(-59.817726, 2.586800, -414.477173, 1.000000)
vec4(-60.188530, 3.087600, -418.958282, 1.000000)
vec4(-67.050323, 4.102300, -418.972778, 1.000000)
vec4(-60.386829, 3.236000, -419.993469, 1.000000)
vec4(-65.851326, 3.944900, -419.274078, 1.000000)
vec4(-65.190529, 3.899600, -419.839386, 1.000000)
vec4(-60.184628, 3.300700, -420.737366, 1.000000)
vec4(-64.589027, 3.870400, -420.422577, 1.000000)
vec4(-65.795624, 4.248800, -422.343689, 1.000000)
vec4(-59.007530, 3.125800, -420.530273, 1.000000)
vec4(-58.550430, 3.132700, -421.002777, 1.000000)
vec4(-57.164330, 3.024600, -421.364075, 1.000000)
vec4(-57.774227, 3.367800, -423.285889, 1.000000)
vec4(-57.018127, 2.845900, -420.210083, 1.000000)
vec4(-58.564827, 3.812100, -425.737091, 1.000000)
vec4(-57.721027, 3.754900, -425.889191, 1.000000)
vec4(-58.489628, 4.963300, -433.064880, 1.000000)
vec4(-63.046127, 5.951400, -436.913666, 1.000000)
vec4(-57.374729, 4.887800, -433.094269, 1.000000)
vec4(-62.658329, 6.231400, -438.877075, 1.000000)
vec4(-57.326729, 5.345000, -435.840485, 1.000000)
vec4(-56.997627, 8.718800, -455.376068, 1.000000)
vec4(-56.406326, 5.420200, -436.605774, 1.000000)
vec4(-57.765930, 11.360000, -470.144073, 1.000000)
vec4(-59.828327, 8.274300, -452.125275, 1.000000)
vec4(-58.562927, 8.567100, -454.150482, 1.000000)
vec4(-7.233227, 11.134400, -455.961670, 1.000000)
vec4(8.567673, 13.285100, -457.601471, 1.000000)
vec4(11.825573, 12.827700, -449.656189, 1.000000)
vec4(-37.958027, 1.724100, -412.133575, 1.000000)
vec4(13.605373, 12.873600, -447.590485, 1.000000)
vec4(-37.958427, 1.694700, -411.739075, 1.000000)
vec4(-37.958828, 1.668600, -411.356567, 1.000000)
vec4(-37.959229, 1.645500, -410.984680, 1.000000)
vec4(-26.213528, 4.278000, -420.471893, 1.000000)
vec4(-37.959728, 1.625200, -410.621887, 1.000000)
vec4(-39.376728, 1.349200, -409.919373, 1.000000)
vec4(-39.385628, 1.335100, -409.625092, 1.000000)
vec4(-26.214727, 4.182900, -419.440491, 1.000000)
vec4(-39.407627, 1.320700, -409.333893, 1.000000)
vec4(-39.407928, 1.312300, -409.050690, 1.000000)
vec4(-26.215828, 4.097400, -418.451080, 1.000000)
vec4(-39.408230, 1.305700, -408.770172, 1.000000)
vec4(-39.408630, 1.301000, -408.491669, 1.000000)
vec4(-39.409229, 1.297300, -407.937164, 1.000000)
vec4(-39.408928, 1.298200, -408.214264, 1.000000)
vec4(-39.409527, 1.298100, -407.659668, 1.000000)
vec4(-39.410828, 1.331000, -406.236969, 1.000000)
vec4(-39.381229, 1.349100, -405.930573, 1.000000)
vec4(-39.409828, 1.300900, -407.380981, 1.000000)
vec4(-37.965729, 1.625300, -405.149780, 1.000000)
vec4(-37.966129, 1.645800, -404.776489, 1.000000)
vec4(-39.410130, 1.305500, -407.100189, 1.000000)
vec4(-37.966629, 1.669400, -404.392365, 1.000000)
vec4(-39.410427, 1.312000, -406.816467, 1.000000)
vec4(-37.967030, 1.696100, -403.995972, 1.000000)
vec4(-37.967430, 1.726200, -403.585480, 1.000000)
vec4(-39.410728, 1.320400, -406.529083, 1.000000)
vec4(-37.967926, 1.760000, -403.158875, 1.000000)
vec4(-26.241228, 4.192800, -395.531067, 1.000000)
vec4(-35.582428, 2.540800, -398.681274, 1.000000)
vec4(-36.401329, 2.432000, -398.682190, 1.000000)
vec4(-32.604328, 2.961500, -398.677979, 1.000000)
vec4(-37.154930, 2.335300, -398.683075, 1.000000)
vec4(-33.815430, 2.777900, -398.762482, 1.000000)
vec4(-37.852730, 2.249100, -398.683777, 1.000000)
vec4(-34.686729, 2.663500, -398.680267, 1.000000)
vec4(-39.033230, 2.227200, -397.823486, 1.000000)
vec4(-38.502426, 2.171800, -398.684570, 1.000000)
vec4(-39.034126, 2.344600, -396.977386, 1.000000)
vec4(-39.032330, 2.124000, -398.589294, 1.000000)
vec4(-39.035229, 2.479000, -396.034668, 1.000000)
vec4(-39.036327, 2.633800, -394.974792, 1.000000)
vec4(-39.041027, 3.276000, -390.773865, 1.000000)
vec4(-39.078728, 2.799000, -393.846588, 1.000000)
vec4(-39.039230, 3.025200, -392.386475, 1.000000)
vec4(-37.030128, 4.510100, -383.854187, 1.000000)
vec4(-38.095829, 4.433500, -383.915466, 1.000000)
vec4(-38.644527, 4.641900, -382.448578, 1.000000)
vec4(-56.202728, 3.080600, -392.997467, 1.000000)
vec4(-56.409229, 2.972700, -393.886169, 1.000000)
vec4(-56.885529, 2.959200, -394.328583, 1.000000)
vec4(-57.420128, 2.967500, -394.688568, 1.000000)
vec4(-59.687328, 2.795200, -398.555664, 1.000000)
vec4(-58.045326, 3.003300, -394.948792, 1.000000)
vec4(-60.469627, 2.888400, -398.752777, 1.000000)
vec4(-60.704128, 2.868300, -399.342072, 1.000000)
vec4(-58.845627, 3.085300, -395.042480, 1.000000)
vec4(-60.548229, 2.774700, -400.146881, 1.000000)
vec4(-59.150627, 3.043500, -395.683990, 1.000000)
vec4(-61.813629, 2.969500, -400.154694, 1.000000)
vec4(-62.701328, 3.088000, -400.437378, 1.000000)
vec4(-59.191628, 2.946400, -396.546478, 1.000000)
vec4(-62.400127, 2.980200, -401.293884, 1.000000)
vec4(-59.223728, 2.858000, -397.361389, 1.000000)
vec4(-61.908928, 2.844200, -402.174988, 1.000000)
vec4(-63.850628, 3.167300, -402.144775, 1.000000)
vec4(-64.132629, 3.864800, -394.229065, 1.000000)
vec4(-72.380226, 4.694700, -400.234589, 1.000000)
vec4(-62.773331, 2.860100, -405.105591, 1.000000)
vec4(-62.497829, 2.795500, -405.765686, 1.000000)
vec4(-79.036728, 5.856500, -399.502167, 1.000000)
vec4(-62.120029, 2.717400, -406.409088, 1.000000)
vec4(-74.264931, 4.948400, -401.871979, 1.000000)
vec4(-62.815529, 2.833200, -406.940887, 1.000000)
vec4(-69.256531, 3.973700, -409.014282, 1.000000)
vec4(-63.152729, 2.889400, -407.534485, 1.000000)
vec4(-59.759930, 2.302400, -409.121094, 1.000000)
vec4(-62.149529, 2.713100, -408.148285, 1.000000)
vec4(-59.873528, 2.333000, -409.627686, 1.000000)
vec4(-58.785027, 2.151900, -409.961578, 1.000000)
vec4(-60.233829, 2.429300, -410.707275, 1.000000)
vec4(-60.358727, 2.473600, -411.265869, 1.000000)
vec4(-63.069031, 2.997900, -412.548676, 1.000000)
vec4(-61.729229, 2.784200, -412.794678, 1.000000)
vec4(-61.944927, 2.862400, -413.497192, 1.000000)
vec4(-59.196327, 2.379200, -413.054474, 1.000000)
vec4(-59.739227, 2.524700, -413.845093, 1.000000)
vec4(-61.597027, 2.751400, -415.346893, 1.000000)
vec4(-66.895432, 3.810500, -418.890778, 1.000000)
vec4(-65.829628, 3.688500, -419.262268, 1.000000)
vec4(-65.192726, 3.650900, -419.841675, 1.000000)
vec4(-64.569031, 3.619200, -420.409790, 1.000000)
vec4(-65.574829, 3.931600, -422.179474, 1.000000)
vec4(-60.222427, 2.898000, -418.986481, 1.000000)
vec4(-60.422829, 3.037800, -420.025787, 1.000000)
vec4(-59.258926, 2.877200, -419.866394, 1.000000)
vec4(-59.653629, 3.081400, -421.187195, 1.000000)
vec4(-58.449730, 2.908300, -420.893372, 1.000000)
