IMUMeasurement(frame=3897, timestamp=2.338726, accelerometer=Vector3D(x=0.113417, y=0.091282, z=9.855846), gyroscope=Vector3D(x=0.030817, y=0.009677, z=0.000089), compass=6.282840)
IMUMeasurement(frame=3909, timestamp=2.738726, accelerometer=Vector3D(x=-0.046316, y=-0.018992, z=9.909149), gyroscope=Vector3D(x=0.009030, y=0.004455, z=-0.000030), compass=0.000000)
IMUMeasurement(frame=3919, timestamp=3.072059, accelerometer=Vector3D(x=0.015499, y=-0.004690, z=9.836596), gyroscope=Vector3D(x=-0.001483, y=-0.000075, z=0.000000), compass=0.000000)
IMUMeasurement(frame=3929, timestamp=3.405392, accelerometer=Vector3D(x=0.072770, y=0.017764, z=9.802880), gyroscope=Vector3D(x=-0.002117, y=-0.000932, z=-0.000000), compass=0.000000)
IMUMeasurement(frame=3939, timestamp=3.738726, accelerometer=Vector3D(x=0.076921, y=0.039968, z=9.802688), gyroscope=Vector3D(x=-0.000547, y=-0.000390, z=0.000000), compass=0.000000)
IMUMeasurement(frame=3949, timestamp=4.072059, accelerometer=Vector3D(x=8.464354, y=-0.019611, z=10.213100), gyroscope=Vector3D(x=-0.012725, y=0.000044, z=-0.000217), compass=6.283185)
IMUMeasurement(frame=3959, timestamp=4.405392, accelerometer=Vector3D(x=3.008934, y=0.021246, z=9.656238), gyroscope=Vector3D(x=-0.010131, y=0.000119, z=-0.001930), compass=6.282840)
IMUMeasurement(frame=3969, timestamp=4.738726, accelerometer=Vector3D(x=2.636050, y=0.022831, z=9.745678), gyroscope=Vector3D(x=0.002914, y=0.000042, z=-0.002664), compass=6.281940)
IMUMeasurement(frame=3979, timestamp=5.072059, accelerometer=Vector3D(x=2.536026, y=-0.512971, z=9.790578), gyroscope=Vector3D(x=0.003500, y=0.001020, z=-0.018441), compass=6.279768)
IMUMeasurement(frame=3989, timestamp=5.405392, accelerometer=Vector3D(x=2.151753, y=-2.908989, z=9.799026), gyroscope=Vector3D(x=0.003110, y=0.007696, z=-0.185646), compass=6.249977)
IMUMeasurement(frame=3999, timestamp=5.738726, accelerometer=Vector3D(x=0.853734, y=-2.586518, z=9.786412), gyroscope=Vector3D(x=0.004962, y=0.008795, z=-0.442504), compass=6.135902)
IMUMeasurement(frame=4009, timestamp=6.072059, accelerometer=Vector3D(x=-0.038832, y=-1.636786, z=9.719852), gyroscope=Vector3D(x=0.006297, y=0.000023, z=-0.460309), compass=5.979692)
IMUMeasurement(frame=4019, timestamp=6.405392, accelerometer=Vector3D(x=-0.044182, y=-1.875217, z=9.806916), gyroscope=Vector3D(x=0.003335, y=-0.003483, z=-0.437265), compass=5.836277)
IMUMeasurement(frame=4029, timestamp=6.738726, accelerometer=Vector3D(x=-0.139880, y=-2.047594, z=9.808205), gyroscope=Vector3D(x=0.001926, y=-0.001872, z=-0.444883), compass=5.697958)
IMUMeasurement(frame=4039, timestamp=7.072059, accelerometer=Vector3D(x=-0.321366, y=-2.393261, z=9.798565), gyroscope=Vector3D(x=0.001950, y=-0.000629, z=-0.468409), compass=5.553957)
IMUMeasurement(frame=4049, timestamp=7.405392, accelerometer=Vector3D(x=-0.338059, y=-2.423596, z=9.795094), gyroscope=Vector3D(x=0.001296, y=-0.000979, z=-0.468754), compass=5.406003)
IMUMeasurement(frame=4059, timestamp=7.738726, accelerometer=Vector3D(x=-0.401173, y=-2.521826, z=9.793975), gyroscope=Vector3D(x=0.001012, y=-0.001231, z=-0.471132), compass=5.257966)
IMUMeasurement(frame=4069, timestamp=8.072059, accelerometer=Vector3D(x=-0.304242, y=-1.666828, z=9.802420), gyroscope=Vector3D(x=-0.001534, y=-0.002016, z=-0.438405), compass=5.112318)
IMUMeasurement(frame=4079, timestamp=8.405393, accelerometer=Vector3D(x=-0.191323, y=-1.311310, z=9.803832), gyroscope=Vector3D(x=-0.002917, y=-0.002089, z=-0.370779), compass=4.986407)
IMUMeasurement(frame=4089, timestamp=8.738726, accelerometer=Vector3D(x=-0.167080, y=-1.413026, z=9.803567), gyroscope=Vector3D(x=-0.002205, y=-0.001758, z=-0.317064), compass=4.882339)
IMUMeasurement(frame=4099, timestamp=9.072059, accelerometer=Vector3D(x=-0.159405, y=-1.141521, z=9.806574), gyroscope=Vector3D(x=-0.001441, y=-0.001503, z=-0.291510), compass=4.790253)
IMUMeasurement(frame=4109, timestamp=9.405393, accelerometer=Vector3D(x=0.038288, y=0.236554, z=9.811434), gyroscope=Vector3D(x=-0.005185, y=-0.001192, z=-0.191827), compass=4.716870)
IMUMeasurement(frame=4119, timestamp=9.738726, accelerometer=Vector3D(x=0.033379, y=0.780640, z=9.809292), gyroscope=Vector3D(x=-0.007037, y=-0.001180, z=-0.022411), compass=4.694306)
IMUMeasurement(frame=4129, timestamp=10.072059, accelerometer=Vector3D(x=0.057781, y=-0.002027, z=9.809366), gyroscope=Vector3D(x=-0.001852, y=-0.001380, z=0.030078), compass=4.710781)
IMUMeasurement(frame=4139, timestamp=10.405393, accelerometer=Vector3D(x=0.075091, y=-0.202189, z=9.809585), gyroscope=Vector3D(x=0.001910, y=-0.001403, z=-0.005812), compass=4.725273)
IMUMeasurement(frame=4149, timestamp=10.738726, accelerometer=Vector3D(x=0.056045, y=-0.107604, z=9.809867), gyroscope=Vector3D(x=0.001858, y=-0.001403, z=-0.029532), compass=4.728061)
IMUMeasurement(frame=4159, timestamp=11.072059, accelerometer=Vector3D(x=0.077616, y=-0.011344, z=9.809555), gyroscope=Vector3D(x=0.000861, y=-0.001406, z=-0.034826), compass=4.726663)
IMUMeasurement(frame=4169, timestamp=11.405393, accelerometer=Vector3D(x=0.076319, y=-0.111492, z=9.810957), gyroscope=Vector3D(x=0.000298, y=-0.001348, z=-0.031360), compass=4.725655)
IMUMeasurement(frame=4179, timestamp=11.738726, accelerometer=Vector3D(x=2.188975, y=-0.307599, z=9.813106), gyroscope=Vector3D(x=0.000744, y=0.007961, z=-0.034179), compass=4.724936)
IMUMeasurement(frame=4189, timestamp=12.072059, accelerometer=Vector3D(x=2.303697, y=-0.308027, z=9.759212), gyroscope=Vector3D(x=0.001175, y=0.005159, z=-0.045555), compass=4.718958)
IMUMeasurement(frame=4199, timestamp=12.405393, accelerometer=Vector3D(x=2.224800, y=-0.158977, z=9.770023), gyroscope=Vector3D(x=0.000560, y=0.000732, z=-0.039766), compass=4.709303)
IMUMeasurement(frame=4209, timestamp=12.738726, accelerometer=Vector3D(x=2.154180, y=-0.044738, z=9.784130), gyroscope=Vector3D(x=-0.000370, y=-0.000749, z=-0.018160), compass=4.702590)
IMUMeasurement(frame=4219, timestamp=13.072059, accelerometer=Vector3D(x=1.668857, y=0.025033, z=9.783312), gyroscope=Vector3D(x=-0.000872, y=-0.002220, z=0.001983), compass=4.701649)
IMUMeasurement(frame=4229, timestamp=13.405393, accelerometer=Vector3D(x=1.149220, y=0.059542, z=9.798957), gyroscope=Vector3D(x=-0.000671, y=-0.003264, z=0.010623), compass=4.704735)
IMUMeasurement(frame=4239, timestamp=13.738726, accelerometer=Vector3D(x=0.819547, y=0.045762, z=9.809278), gyroscope=Vector3D(x=-0.000136, y=-0.002707, z=0.012080), compass=4.709227)
IMUMeasurement(frame=4249, timestamp=14.072059, accelerometer=Vector3D(x=1.809328, y=-0.017402, z=9.825259), gyroscope=Vector3D(x=0.000476, y=0.002970, z=0.006643), compass=4.712784)
IMUMeasurement(frame=4259, timestamp=14.405393, accelerometer=Vector3D(x=1.951162, y=-0.071182, z=9.781154), gyroscope=Vector3D(x=0.000731, y=0.003366, z=-0.001213), compass=4.713834)
IMUMeasurement(frame=4269, timestamp=14.738726, accelerometer=Vector3D(x=1.907817, y=-0.071501, z=9.780166), gyroscope=Vector3D(x=0.000549, y=0.000878, z=-0.004170), compass=4.713077)
IMUMeasurement(frame=4279, timestamp=15.072060, accelerometer=Vector3D(x=1.848341, y=-0.060599, z=9.789596), gyroscope=Vector3D(x=0.000171, y=-0.000328, z=-0.002650), compass=4.712145)
IMUMeasurement(frame=4289, timestamp=15.405393, accelerometer=Vector3D(x=1.716764, y=-0.040042, z=9.790087), gyroscope=Vector3D(x=-0.000091, y=-0.000675, z=-0.000102), compass=4.711966)
IMUMeasurement(frame=4299, timestamp=15.738726, accelerometer=Vector3D(x=1.352752, y=0.009850, z=9.792479), gyroscope=Vector3D(x=-0.000203, y=-0.001731, z=0.002554), compass=4.712666)
